Description,Price,Rating,Review_Count,URL
"boAt Airdopes 441 TWS Ear-Buds with IWP Technology, Immersive Audio, Up to 30H Total Playback, IPX7 Water Resistance, Super Touch Controls, Secure Sports Fit & Type-C Port(Sporty Blue)","₹1,799",4.0 out of 5 stars,"102,497",https://www.amazon.in/Airdopes-441-Technology-Immersive-Resistance/dp/B086WMR98R/ref=sr_1_13?dchild=1&keywords=boat+tws&qid=1633528251&sr=8-13
"boAt Airdopes 441 TWS Ear-Buds with IWP Technology, Immersive Audio, Up to 30H Total Playback, IPX7 Water Resistance, Super Touch Controls, Secure Sports Fit & Type-C Port(Spirit Lime)","₹1,799",4.0 out of 5 stars,"102,497",https://www.amazon.in/Airdopes-441-Technology-Immersive-Resistance/dp/B086WN8LB4/ref=sr_1_14?dchild=1&keywords=boat+tws&qid=1633528251&smid=A14CZOWI0VEHLG&sr=8-14
"boAt Airdopes 441 TWS Ear-Buds with IWP Technology, Immersive Audio, Up to 30H Total Playback, IPX7 Water Resistance, Super Touch Controls, Secure Sports Fit & Type-C Port(Active Black Indi)","₹1,799",4.0 out of 5 stars,"102,497",https://www.amazon.in/boAt-Airdopes-441-Technology-Resistance/dp/B098XQXYCR/ref=sr_1_15?dchild=1&keywords=boat+tws&qid=1633528251&sr=8-15
"(Renewed) boAt Airdopes 441 TWS Ear-Buds with IWP Technology, Immersive Audio, Up to 30H Total Playback, IPX7 Water Resistance, Super Touch Controls, Secure Sports Fit & Type-C Port(Raging Red)","₹1,199",,,https://www.amazon.in/Airdopes-Ear-Buds-Technology-Immersive-Resistance/dp/B09G71BDPN/ref=sr_1_16?dchild=1&keywords=boat+tws&qid=1633528251&sr=8-16
"boAt Airdopes 441 Pro TWS Ear-Buds with IWP Technology, Up to 150H Playback with Case, Power Bank Function, IPX7 Water Resistance, Super Touch Controls, Secure Sports Fit & Type-C Port(Raging Red)","₹2,499",4.0 out of 5 stars,"102,497",https://www.amazon.in/Airdopes-441-Pro-Technology-Resistance/dp/B08CVSGR81/ref=sr_1_17?dchild=1&keywords=boat+tws&qid=1633528251&sr=8-17
"boAt Airdopes 421v2 True Wireless Earbuds with Beast™ Mode, Upto 42 Hours Playback, ASAP™ Charge, Magnetic Earhooks, IWP Technology and IPX6(Sporty Blue)","₹1,999",,,https://www.amazon.in/boAt-Airdopes-421v2-Wireless-Technology/dp/B08YYX42QY/ref=sr_1_18?dchild=1&keywords=boat+tws&qid=1633528251&sr=8-18
"(Renewed) boat Airdope 441 Pro TWS Ear-Buds with IWP Technology, Up to 150H Playback with Case, Power Bank Function, IPX7 Water Resistance,Touch Controls, Secure Sports Fit & Type-C Port(Active Black)","₹1,790",,,https://www.amazon.in/Ear-Buds-Technology-Playback-Function-Resistance/dp/B09HCC25YQ/ref=sr_1_19?dchild=1&keywords=boat+tws&qid=1633528251&sr=8-19
"boAt Airdopes 511V2 TWS Ear-Buds with IWP Technology, Ergonomic Never Drop Design, Classy Build, Bluetooth V5.0, Up to 30H Total Playback, IPX4, Dual Microphones and Immersive Sound(Black)","₹2,499",4.0 out of 5 stars,838,https://www.amazon.in/boAt-Airdopes-Technology-Ergonomic-Microphones/dp/B08Z4CNP5Z/ref=sr_1_20?dchild=1&keywords=boat+tws&qid=1633528251&sr=8-20
"Boult Audio AirBass Q10 True Wireless in-Ear Earphones with 24H Total Playtime, Touch Controls, IPX5 Water Resistant, Low Latency for Gaming (Black)",₹799,3.7 out of 5 stars,"3,160",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A04039901B3Y1ME6K4UE7&url=%2FBoult-Audio-Wireless-Earphones-Resistant%2Fdp%2FB08W9BQ4G8%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3Dboat%2Btws%26qid%3D1633528251%26sr%3D8-21-spons%26psc%3D1&qualifier=1633528251&id=1943680929595019&widgetName=sp_btf
"Sony WF-1000XM3 Industry Leading Active Noise Cancellation True Wireless (TWS) Bluetooth 5.0 Earbuds with 32hr Battery Life, Alexa Voice Control & mic for Phone Calls Suitable for Workout, WFH (Black)","₹9,990",3.9 out of 5 stars,"14,297",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A04438562FJSVCJ20XZZM&url=%2FSony-WF-1000XM3-Wireless-Bluetooth-Earbuds%2Fdp%2FB07T81554H%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3Dboat%2Btws%26qid%3D1633528251%26sr%3D8-22-spons%26psc%3D1&qualifier=1633528251&id=1943680929595019&widgetName=sp_btf
